time,Si,Ca,Al,Ti,Fe
0.5,10380,20050,3990,290,10
1.0,10550,20180,3890,290,10
1.5,10520,19830,3880,270,20
2.0,10520,19830,4030,290,20
2.5,10480,19780,3890,270,20
3.0,10480,19680,3890,270,20
3.5,10540,19830,4100,300,20
4.0,10540,19830,4030,300,20
4.5,10630,19590,3980,250,20
5.0,10620,19840,3920,270,20
5.5,10430,19680,3920,270,20
6.0,10690,19830,3850,300,20
6.5,10690,19830,4000,290,10
7.0,10720,20070,3890,310,20
7.5,10550,19780,3830,330,10
8.0,10500,19860,3830,330,10
8.5,10420,20120,4000,280,20
9.0,10420,20120,4020,270,20
9.5,10340,20080,3910,290,20
10.0,10740,19770,3880,290,20
10.5,10540,19900,3880,290,20
11.0,10510,19740,3890,260,30
11.5,10510,19740,4050,290,20
12.0,10400,19600,3840,290,20
12.5,10520,19550,3840,290,20
13.0,10350,19660,3830,280,20
13.5,10440,19900,3950,270,30
14.0,10440,19900,3960,300,20
14.5,10620,20030,3850,280,30
15.0,10350,19820,3850,280,30
15.5,10570,19600,3920,290,20
16.0,10560,19780,3950,290,10
16.5,10560,19780,3880,310,30
17.0,10480,19870,3950,280,20
17.5,10420,19890,3950,280,20
18.0,10340,19530,3960,310,20
18.5,10390,19700,3950,250,30
19.0,10390,19700,3880,340,40
19.5,10580,19690,3850,270,30
20.0,10510,19890,3850,270,30
20.5,10470,20080,4070,280,20
21.0,10450,19670,3860,280,30
21.5,10450,19670,4030,260,20
22.0,10430,19870,3870,230,20
22.5,10730,19540,3870,230,20
23.0,10290,20080,4100,260,40
23.5,10430,19970,4080,260,30
24.0,10430,19970,4000,270,20
24.5,10640,19870,4000,270,20
25.0,10750,19970,3900,250,20
25.5,10750,19660,3860,250,10
26.0,10360,20100,3870,270,10
26.5,10360,20100,3890,280,30
27.0,10440,19890,3890,280,30
27.5,10530,19730,3930,310,30
28.0,10670,19690,3820,310,20
28.5,10570,20000,3800,300,20
29.0,10570,20000,3800,300,20
29.5,10660,19660,3890,280,20
30.0,10560,19470,3850,280,40
30.5,10510,20110,3920,290,20
31.0,10510,20110,3920,320,40
31.5,10540,20070,3920,320,40
32.0,10400,19250,3850,310,30
32.5,10170,19580,3910,290,20
33.0,10640,19560,3960,290,20
33.5,10640,19560,3950,250,20
34.0,10530,19720,3950,250,20
34.5,10580,19760,3890,270,10
35.0,10380,19850,3870,270,20
35.5,10710,19900,3980,250,20
36.0,10710,19900,3980,250,20
36.5,10420,20040,4090,280,30
37.0,10480,19970,3750,300,20
37.5,10650,19880,3990,270,10
38.0,10830,19890,3860,310,20
38.5,10830,19890,3860,310,20
39.0,10210,19470,4000,280,20
39.5,10620,19660,3900,280,40
40.0,10500,19870,3920,280,20
40.5,10410,19650,3860,270,30
41.0,10410,19650,3860,270,30
41.5,10640,19770,3980,340,40
42.0,10470,20000,4020,280,20
42.5,10490,19430,3910,260,20
43.0,10570,19880,3970,290,30
43.5,10570,19880,3970,290,30
44.0,10710,19660,4040,280,20
44.5,10650,19670,3950,300,20
45.0,10500,19820,4040,290,30
45.5,10500,19820,4040,290,30
46.0,10510,19900,4050,270,20
46.5,10480,19530,4060,250,30
47.0,10350,19770,3900,280,30
47.5,10420,19640,3850,290,30
48.0,10420,19640,3850,290,30
48.5,10400,19420,4040,310,30
49.0,10260,19860,3850,270,30
49.5,10360,19860,4060,280,20
50.0,10730,19610,3920,290,20
50.5,10730,19610,3920,290,20
51.0,10860,19840,4060,290,30
51.5,10450,19880,4160,290,20
52.0,10590,20220,4020,300,20
52.5,10590,20220,3900,300,20
53.0,10830,19950,3900,300,20
53.5,10400,19770,3900,250,20
54.0,10520,19610,3740,270,40
54.5,10480,19370,3980,270,40
55.0,10480,19370,3980,270,40
55.5,10450,20020,4040,290,30
56.0,10540,19700,3950,280,20
56.5,10610,19560,3850,260,20
57.0,10610,19400,3900,280,30
57.5,10610,19400,3900,280,30
58.0,10660,19930,3950,360,10
58.5,10650,20090,4040,350,20
59.0,10590,19800,4120,290,30
59.5,10590,19800,3870,280,10
60.0,10260,20100,3870,280,10
